==WARNING== Note: Running with unmodified GPU clocks. If not controlled otherwise, profiling results may be inconsistent.
==PROF== Connected to process 58 (/usr/bin/python3.12)
"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","58","python3.12","127.0.0.1","void deep_gemm::sm90_fp8_gemm_1d2d_impl<0, 2048, 4096, 1, 64, 160, 128, 64, 4, 0, 128, 128, 2, 0, 130, 0, deep_gemm::EpilogueIdentity>(float *, int *, unsigned int, unsigned int, unsigned int, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st)","1","7","(256, 1, 1)","(130, 1, 1)","0","9.0","Memory Workload Analysis","Memory Throughput","byte/s","919215686274.51"
"0","58","python3.12","127.0.0.1","void deep_gemm::sm90_fp8_gemm_1d2d_impl<0, 2048, 4096, 1, 64, 160, 128, 64, 4, 0, 128, 128, 2, 0, 130, 0, deep_gemm::EpilogueIdentity>(float *, int *, unsigned int, unsigned int, unsigned int, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st)","1","7","(256, 1, 1)","(130, 1, 1)","0","9.0","Memory Workload Analysis","Mem Busy","%","35.59"
"0","58","python3.12","127.0.0.1","void deep_gemm::sm90_fp8_gemm_1d2d_impl<0, 2048, 4096, 1, 64, 160, 128, 64, 4, 0, 128, 128, 2, 0, 130, 0, deep_gemm::EpilogueIdentity>(float *, int *, unsigned int, unsigned int, unsigned int, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st)","1","7","(256, 1, 1)","(130, 1, 1)","0","9.0","Memory Workload Analysis","Max Bandwidth","%","39.55"
"0","58","python3.12","127.0.0.1","void deep_gemm::sm90_fp8_gemm_1d2d_impl<0, 2048, 4096, 1, 64, 160, 128, 64, 4, 0, 128, 128, 2, 0, 130, 0, deep_gemm::EpilogueIdentity>(float *, int *, unsigned int, unsigned int, unsigned int, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st)","1","7","(256, 1, 1)","(130, 1, 1)","0","9.0","Memory Workload Analysis","L1/TEX Hit Rate","%","0"
"0","58","python3.12","127.0.0.1","void deep_gemm::sm90_fp8_gemm_1d2d_impl<0, 2048, 4096, 1, 64, 160, 128, 64, 4, 0, 128, 128, 2, 0, 130, 0, deep_gemm::EpilogueIdentity>(float *, int *, unsigned int, unsigned int, unsigned int, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st)","1","7","(256, 1, 1)","(130, 1, 1)","0","9.0","Memory Workload Analysis","L2 Compression Success Rate","%","0"
"0","58","python3.12","127.0.0.1","void deep_gemm::sm90_fp8_gemm_1d2d_impl<0, 2048, 4096, 1, 64, 160, 128, 64, 4, 0, 128, 128, 2, 0, 130, 0, deep_gemm::EpilogueIdentity>(float *, int *, unsigned int, unsigned int, unsigned int, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st)","1","7","(256, 1, 1)","(130, 1, 1)","0","9.0","Memory Workload Analysis","L2 Compression Ratio","%","0"
"0","58","python3.12","127.0.0.1","void deep_gemm::sm90_fp8_gemm_1d2d_impl<0, 2048, 4096, 1, 64, 160, 128, 64, 4, 0, 128, 128, 2, 0, 130, 0, deep_gemm::EpilogueIdentity>(float *, int *, unsigned int, unsigned int, unsigned int, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st)","1","7","(256, 1, 1)","(130, 1, 1)","0","9.0","Memory Workload Analysis","L2 Compression Input Sectors","","80776"
"0","58","python3.12","127.0.0.1","void deep_gemm::sm90_fp8_gemm_1d2d_impl<0, 2048, 4096, 1, 64, 160, 128, 64, 4, 0, 128, 128, 2, 0, 130, 0, deep_gemm::EpilogueIdentity>(float *, int *, unsigned int, unsigned int, unsigned int, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st)","1","7","(256, 1, 1)","(130, 1, 1)","0","9.0","Memory Workload Analysis","L2 Hit Rate","%","78.61"
"0","58","python3.12","127.0.0.1","void deep_gemm::sm90_fp8_gemm_1d2d_impl<0, 2048, 4096, 1, 64, 160, 128, 64, 4, 0, 128, 128, 2, 0, 130, 0, deep_gemm::EpilogueIdentity>(float *, int *, unsigned int, unsigned int, unsigned int, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st)","1","7","(256, 1, 1)","(130, 1, 1)","0","9.0","Memory Workload Analysis","Mem Pipes Busy","%","17.88"
"1","58","python3.12","127.0.0.1","std::enable_if<T2>0&&vllm::_typeConvert<T1>::exists, void>::type vllm::fused_add_rms_norm_kernel<c10::BFloat16, 8>(T1 *, long, T1 *, const T1 *, float, int, int)","1","7","(256, 1, 1)","(631, 1, 1)","0","9.0","Memory Workload Analysis","Memory Throughput","byte/s","858357142857.14"
